gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000023004	Tuba1b	238.0	173.0	319.0	36.0	381.0	118.0	180.0	134.0
ENSMUSG00000041966	Dcaf17	57.0	38.0	83.0	5.0	110.0	27.0	83.0	51.0
ENSMUSG00000037369	Kdm6a	1010.0	749.0	1828.0	233.0	1602.0	392.0	1078.0	382.0
ENSMUSG00000029655	N4bp2l2	476.0	368.0	777.0	122.0	802.0	205.0	648.0	214.0
ENSMUSG00000028393	Alad	54.0	61.0	127.0	10.0	130.0	21.0	91.0	32.0
ENSMUSG00000027469	Tpx2	65.0	51.0	92.0	12.0	83.0	25.0	71.0	29.0
ENSMUSG00000034245	Hdac11	2.0	0.0	4.0	1.0	3.0	3.0	3.0	0.0
ENSMUSG00000087382	Ctcflos	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000024208	Uqcc2	161.0	151.0	282.0	48.0	365.0	71.0	188.0	100.0
ENSMUSG00000031198	Fundc2	144.0	107.0	279.0	38.0	262.0	75.0	195.0	59.0
ENSMUSG00000027078	Ube2l6	53.0	33.0	74.0	6.0	98.0	25.0	61.0	34.0
ENSMUSG00000024352	Spata24	19.0	20.0	31.0	6.0	42.0	11.0	25.0	12.0
ENSMUSG00000037761	Actr5	75.0	63.0	149.0	23.0	110.0	40.0	82.0	37.0
ENSMUSG00000113515	Gm29675	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0
ENSMUSG00000025432	Avil	2.0	1.0	4.0	0.0	1.0	0.0	4.0	3.0
