gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000023467	Tulp2	21.0	12.0	13.0	15.0	25.0	30.0	14.0	21.0
ENSMUSG00000030824	Nucb1	5552.0	7209.0	5072.0	4116.0	7618.0	5326.0	7596.0	4978.0
ENSMUSG00000040435	Ppp1r15a	6257.0	7295.0	5484.0	6706.0	6910.0	8730.0	6789.0	7418.0
ENSMUSG00000040428	Plekha4	31.0	42.0	31.0	36.0	39.0	33.0	34.0	34.0
ENSMUSG00000030826	Bcat2	1091.0	1566.0	1110.0	870.0	1429.0	1201.0	1600.0	1289.0
ENSMUSG00000003273	Car11	11.0	11.0	23.0	21.0	12.0	20.0	13.0	17.0
ENSMUSG00000059824	Dbp	233.0	330.0	235.0	243.0	237.0	277.0	269.0	292.0
ENSMUSG00000057342	Sphk2	1694.0	2104.0	1315.0	1119.0	1570.0	1577.0	1740.0	1456.0
ENSMUSG00000059070	Rpl18	217533.0	313757.0	214273.0	194269.0	286240.0	271715.0	289172.0	265264.0
ENSMUSG00000054161	Fam83e	22.0	29.0	12.0	12.0	28.0	18.0	23.0	13.0
ENSMUSG00000003271	Sult2b1	5961.0	8186.0	4469.0	3953.0	8303.0	5366.0	7720.0	5431.0
ENSMUSG00000109602	Gm31597	1387.0	1735.0	1063.0	935.0	1853.0	1193.0	1713.0	1132.0
ENSMUSG00000062044	Lmtk3	1485.0	1856.0	979.0	885.0	1952.0	1101.0	1441.0	1171.0
ENSMUSG00000003269	Cyth2	2975.0	3709.0	2533.0	2228.0	3333.0	3016.0	3610.0	3132.0
ENSMUSG00000053801	Grwd1	1049.0	1447.0	1047.0	898.0	1291.0	1188.0	1628.0	1395.0
ENSMUSG00000002771	Grin2d	42.0	58.0	26.0	25.0	35.0	34.0	50.0	37.0
ENSMUSG00000002778	Kdelr1	4731.0	6557.0	4050.0	3519.0	5938.0	4933.0	6044.0	5110.0
ENSMUSG00000002781	Tmem143	169.0	179.0	165.0	132.0	205.0	179.0	180.0	158.0
ENSMUSG00000040212	Emp3	13262.0	15891.0	11558.0	8809.0	15270.0	13297.0	15843.0	12716.0
ENSMUSG00000040189	Ccdc114	7.0	5.0	5.0	11.0	6.0	10.0	11.0	3.0
ENSMUSG00000030835	Nomo1	610.0	752.0	657.0	518.0	791.0	669.0	811.0	642.0
ENSMUSG00000058975	Kcnc1	58.0	74.0	64.0	92.0	104.0	120.0	59.0	81.0
ENSMUSG00000030839	Sergef	1004.0	1390.0	1075.0	747.0	1354.0	1043.0	1510.0	1091.0
ENSMUSG00000087492	Gm15700	8.0	11.0	5.0	5.0	18.0	13.0	17.0	3.0
ENSMUSG00000006763	Saal1	1135.0	1361.0	981.0	808.0	1452.0	1174.0	1480.0	1057.0
ENSMUSG00000014418	Hps5	640.0	696.0	550.0	435.0	795.0	626.0	755.0	591.0
ENSMUSG00000006599	Gtf2h1	1686.0	2181.0	1561.0	1386.0	1994.0	1777.0	2345.0	2020.0
ENSMUSG00000063229	Ldha	63992.0	91032.0	58928.0	52194.0	89667.0	68752.0	95310.0	68854.0
ENSMUSG00000014402	Tsg101	2527.0	2981.0	2272.0	1775.0	3194.0	2768.0	3104.0	2360.0
ENSMUSG00000043262	Uevld	183.0	205.0	143.0	116.0	223.0	157.0	203.0	165.0
ENSMUSG00000049516	Spty2d1	1927.0	2443.0	1900.0	1786.0	2421.0	2343.0	2252.0	1791.0
ENSMUSG00000109118	Gm32031	145.0	201.0	139.0	201.0	189.0	220.0	175.0	174.0
ENSMUSG00000010307	Tmem86a	75.0	76.0	52.0	74.0	81.0	85.0	89.0	74.0
ENSMUSG00000030854	Ptpn5	211.0	369.0	192.0	214.0	392.0	189.0	413.0	290.0
ENSMUSG00000109501	Gm14377	117.0	95.0	85.0	91.0	140.0	90.0	104.0	54.0
ENSMUSG00000030471	Zdhhc13	554.0	633.0	531.0	424.0	696.0	699.0	668.0	537.0
ENSMUSG00000046179	E2f8	35.0	24.0	26.0	22.0	58.0	34.0	28.0	27.0
